"country","mean","se","l","u","age"
"Oman",0.0187027359577156,0.0145972172019994,0.00434731925530781,0.055025932812276,"18-19"
"Pakistan",0.0147972155946604,0.0117755756303283,0.00322203618036905,0.0464974571955307,"18-19"
"Palau",0.0551656663034915,0.0503246388984924,0.00804291113190315,0.195060380561111,"18-19"
"Panama",0.00797587493886872,0.00606333950917736,0.00148544627061039,0.0230968274015436,"18-19"
"Papua New Guinea",0.024786200054735,0.0252097000669258,0.00397250585419422,0.0956910241104661,"18-19"
"Paraguay",0.0066903565303279,0.00588726440312039,0.000981672546074759,0.0216060705991781,"18-19"
"Peru",0.00577419769335716,0.0047053685762074,0.000710255043613959,0.0181143156442903,"18-19"
"Philippines",0.00528102908583398,0.00348787269704127,0.00107793907812573,0.0141309171635849,"18-19"
"Poland",0.00696391377983656,0.00522008168593174,0.00123730238820202,0.0202837122375378,"18-19"
"Portugal",0.00722359659647577,0.00571652374239281,0.00123396100858775,0.0209684716389537,"18-19"
"Puerto Rico",0.0154238597368643,0.0140063146854608,0.00272881292865689,0.0511498186644108,"18-19"
"Qatar",0.0334012512925497,0.0270129745095112,0.00667546808877911,0.104246882074384,"18-19"
"Romania",0.00566533904120714,0.00469108643099511,0.00076720644086409,0.0169099824336631,"18-19"
"Russian Federation",0.00588059653132812,0.00513036267920629,0.00072023930130849,0.0188849906640251,"18-19"
"Rwanda",0.0024630053856479,0.0020798175080636,0.000205183860363399,0.00785358741080423,"18-19"
"Saint Kitts and Nevis",0.0156477269777313,0.0140857917873062,0.00256775833684341,0.053312853030803,"18-19"
"Saint Lucia",0.0192807151342138,0.0188732628370048,0.00269156203655081,0.0705902889823568,"18-19"
"Saint Vincent and the Grenadines",0.00866697303958384,0.00742322379931604,0.0013539412598716,0.0287081027909905,"18-19"
"Samoa",0.0477448756177947,0.0462365641297356,0.00684604158567611,0.171276602448967,"18-19"
"Sao Tome and Principe",0.00705840802012244,0.00581582693076642,0.00108491156976371,0.021609567405286,"18-19"
"Saudi Arabia",0.028347800880239,0.023281374091026,0.00621900687495157,0.0881101903661857,"18-19"
"Senegal",0.00589810751865296,0.00463431357187874,0.000830461028663671,0.0179012044934827,"18-19"
"Serbia",0.00548942022396142,0.00449712996674046,0.000778776915557246,0.0166242226489357,"18-19"
"Seychelles",0.00993527403888855,0.00771866293632509,0.00210611416728363,0.029751585652075,"18-19"
"Sierra Leone",0.00543233053249792,0.00426305134402208,0.000834641029887981,0.0163290164308767,"18-19"
"Singapore",0.00804039637330042,0.00523859885187933,0.00182348594054506,0.021909683174058,"18-19"
"Slovakia",0.00627832538130688,0.00446726516462936,0.00108314394001277,0.018131527342911,"18-19"
"Slovenia",0.00552266396864376,0.00442723107728977,0.000719420905131924,0.0164110229049821,"18-19"
"Solomon Islands",0.0157897963593416,0.0153641563434244,0.00266110258379958,0.0583378315706892,"18-19"
"Somalia",0.00584053828899286,0.00470841475506726,0.000781706375739351,0.0176936446665559,"18-19"
"South Africa",0.00893288158340709,0.00710760123796912,0.0016436585230128,0.0274964362484558,"18-19"
"South Korea",0.00734770940774791,0.00468336818952374,0.0016859532657351,0.0194101898971745,"18-19"
"Spain",0.00643695236876188,0.00459478800843768,0.00109650739575539,0.0180995992072499,"18-19"
